date,lat,lon,log_CI_cells_mL,bloom
2018-05-22,44.71252556493273,-122.16415638254338,12.203700992868441,1
2018-05-22,44.71252556493273,-122.1675983680783,12.176069971752513,1
2018-05-22,44.71252556493273,-122.17104035361322,12.176069971752513,1
2018-05-22,44.71252556493273,-122.17448233914814,11.927390781709157,1
2018-05-22,44.71252556493273,-122.17792432468306,12.176069971752513,1
2018-05-22,44.71252556493273,-122.18136631021798,12.2589630351003,1
2018-05-22,44.71252556493273,-122.1848082957529,11.84449771836137,1
2018-05-22,44.71252556493273,-122.24332204984653,8.749823353377373,0
2018-05-22,44.71596755046765,-122.16071439700846,12.176069971752513,1
2018-05-22,44.71596755046765,-122.16415638254338,12.176069971752513,1
2018-05-22,44.71596755046765,-122.1675983680783,11.45766342273837,1
2018-05-22,44.71596755046765,-122.18136631021798,12.231332013984371,1
