date,lat,lon,site,Algae
2018-09-26 11:45:00,44.69537557,-122.2412653,Heater,1285.6794890593444
2019-03-05 12:00:00,44.67544396,-122.1887626,Blowout,24672.203166597654
2019-04-17 11:10:00,44.67544396,-122.1887626,Blowout,148.52213316646018
2019-04-23 11:05:00,44.69537557,-122.2412653,Heater,134.86320667312128
2019-05-07 10:50:00,44.69537557,-122.2412653,Heater,28.767800568278325
2019-05-14 10:25:00,44.69537557,-122.2412653,Heater,6130.145757869151
2019-05-14 11:20:00,44.67544396,-122.1887626,Blowout,1395741.779138953
2019-05-21 09:55:00,44.71760227,-122.2448237,Log Bloom,4009.115325646423
2019-05-21 10:30:00,44.69537557,-122.2412653,Heater,17593.518325084464
2019-05-21 11:30:00,44.67544396,-122.1887626,Blowout,23592.30381671356
2019-05-28 09:30:00,44.71760227,-122.2448237,Log Bloom,1912.6054764551743
2019-05-30 09:45:00,44.71760227,-122.2448237,Log Bloom,135344.65737104998
2019-05-30 10:15:00,44.69537557,-122.2412653,Heater,37595.738158625
2019-05-30 10:55:00,44.67544396,-122.1887626,Blowout,105692.47021674682
2019-06-03 09:00:00,44.71760227,-122.2448237,Log Bloom,48495.58309050284
2019-06-03 09:35:00,44.69537557,-122.2412653,Heater,2753887.820119281
2019-06-03 10:15:00,44.67544396,-122.1887626,Blowout,1261303.4475985128
2019-06-04 09:30:00,44.71760227,-122.2448237,Log Bloom,63442.80814267968
2019-06-04 10:00:00,44.69537557,-122.2412653,Heater,4181183.165212794
2019-06-04 10:40:00,44.67544396,-122.1887626,Blowout,66652.199090203
2019-06-05 10:55:00,44.71760227,-122.2448237,Log Bloom,101735.8989975964
2019-06-05 11:30:00,44.69537557,-122.2412653,Heater,2001973.0569467808
2019-06-05 11:50:00,44.67544396,-122.1887626,Blowout,4842369.43782902
2019-06-06 09:40:00,44.71760227,-122.2448237,Log Bloom,339627.8392734731
2019-06-06 10:10:00,44.69537557,-122.2412653,Heater,2163097.649055174
2019-06-06 10:30:00,44.67544396,-122.1887626,Blowout,3353405.573255927
2019-06-07 09:15:00,44.71760227,-122.2448237,Log Bloom,78548.23865284151
2019-06-07 09:50:00,44.69537557,-122.2412653,Heater,2186818.769560021
2019-06-07 10:10:00,44.67544396,-122.1887626,Blowout,4867305.3866077
2019-06-10 10:05:00,44.71760227,-122.2448237,Log Bloom,6952274.392301982
2019-06-10 10:45:00,44.69537557,-122.2412653,Heater,3700830.474989648
2019-06-10 11:35:00,44.67544396,-122.1887626,Blowout,11927247.930823782
2019-06-11 09:40:00,44.71760227,-122.2448237,Log Bloom,5618213.121079524
2019-06-11 10:30:00,44.69537557,-122.2412653,Heater,11137894.777727136
2019-06-11 10:55:00,44.67544396,-122.1887626,Blowout,10510358.5489706
2019-06-12 10:10:00,44.71760227,-122.2448237,Log Bloom,683582.8026596173
2019-06-12 11:05:00,44.69537557,-122.2412653,Heater,66957338.308044
2019-06-12 11:50:00,44.67544396,-122.1887626,Blowout,30560803.493809074
2019-06-13 09:40:00,44.71760227,-122.2448237,Log Bloom,886345.8244454054
2019-06-13 10:15:00,44.69537557,-122.2412653,Heater,16236659.417256176
2019-06-13 10:45:00,44.67544396,-122.1887626,Blowout,5563821.919805272
2019-06-14 09:25:00,44.71760227,-122.2448237,Log Bloom,1456834.853646719
2019-06-14 10:10:00,44.69537557,-122.2412653,Heater,10573801.35711328
2019-06-14 10:30:00,44.67544396,-122.1887626,Blowout,1225283.363232551
2019-06-17 10:50:00,44.71760227,-122.2448237,Log Bloom,1827152.8745091744
2019-06-17 11:20:00,44.69537557,-122.2412653,Heater,23459740.610981997
2019-06-17 11:50:00,44.67544396,-122.1887626,Blowout,4123782.52927418
2019-06-18 09:55:00,44.71760227,-122.2448237,Log Bloom,2503489.7637502626
2019-06-18 10:30:00,44.69537557,-122.2412653,Heater,7238293.670927099
2019-06-18 11:10:00,44.67544396,-122.1887626,Blowout,595384.1694580703
2019-06-19 09:30:00,44.71760227,-122.2448237,Log Bloom,3769040.655351958
2019-06-19 10:05:00,44.69537557,-122.2412653,Heater,13076267.678296758
2019-06-19 10:30:00,44.67544396,-122.1887626,Blowout,5568868.714746327
2019-06-20 09:50:00,44.71760227,-122.2448237,Log Bloom,6650552.113996233
2019-06-20 10:20:00,44.69537557,-122.2412653,Heater,10701358.325865762
2019-06-20 10:45:00,44.67544396,-122.1887626,Blowout,2662161.105048985
2019-06-21 10:20:00,44.71760227,-122.2448237,Log Bloom,7397260.011492962
2019-06-21 10:58:00,44.69537557,-122.2412653,Heater,1970494.1155186729
2019-06-21 11:15:00,44.67544396,-122.1887626,Blowout,2948463.83996428
2019-06-24 10:00:00,44.71760227,-122.2448237,Log Bloom,4642270.770557128
2019-06-24 10:40:00,44.69537557,-122.2412653,Heater,16591592.866319504
2019-06-24 11:10:00,44.67544396,-122.1887626,Blowout,1445229.931313017
2019-06-25 09:15:00,44.71760227,-122.2448237,Log Bloom,2733589.9258596622
2019-06-25 09:40:00,44.71760227,-122.2448237,Log Bloom,1460926.8474291307
2019-06-25 11:20:00,44.69537557,-122.2412653,Heater,3423268.189365424
2019-06-25 11:55:00,44.67544396,-122.1887626,Blowout,1966727.0524230704
2019-06-26 09:40:00,44.69537557,-122.2412653,Heater,1748761.2320314338
2019-06-26 10:10:00,44.67544396,-122.1887626,Blowout,851778.4426563478
2019-07-02 09:45:00,44.71760227,-122.2448237,Log Bloom,5705153.265571344
2019-07-02 10:00:00,44.69537557,-122.2412653,Heater,964705.6485953073
2019-07-02 10:25:00,44.67544396,-122.1887626,Blowout,82056.08599340827
2019-07-03 09:05:00,44.71760227,-122.2448237,Log Bloom,2512693.770234639
2019-07-03 09:35:00,44.69537557,-122.2412653,Heater,5700092.300819222
2019-07-03 10:00:00,44.67544396,-122.1887626,Blowout,387706.04976082034
2019-07-05 09:45:00,44.71760227,-122.2448237,Log Bloom,2300583.257162884
2019-07-05 10:20:00,44.69537557,-122.2412653,Heater,2058366.6641847184
2019-07-05 10:55:00,44.67544396,-122.1887626,Blowout,885885.6241211866
2019-07-08 09:50:00,44.71760227,-122.2448237,Log Bloom,2559634.203304956
2019-07-08 10:25:00,44.69537557,-122.2412653,Heater,5697869.5964477565
2019-07-08 10:50:00,44.67544396,-122.1887626,Blowout,206189.12646370896
2019-07-09 09:40:00,44.71760227,-122.2448237,Log Bloom,4383595.934048963
2019-07-09 10:10:00,44.69537557,-122.2412653,Heater,3784539.7357334634
2019-07-09 10:30:00,44.67544396,-122.1887626,Blowout,995699.627794834
2019-07-10 09:20:00,44.67544396,-122.1887626,Blowout,832686.856872671
2019-07-10 10:10:00,44.71760227,-122.2448237,Log Bloom,1717255.2098349156
2019-07-10 11:00:00,44.69537557,-122.2412653,Heater,692117.0665553769
2019-07-11 09:50:00,44.71760227,-122.2448237,Log Bloom,5928194.864760785
2019-07-11 10:35:00,44.69537557,-122.2412653,Heater,1948019.5577143317
2019-07-11 11:00:00,44.67544396,-122.1887626,Blowout,599182.0769030859
2019-07-12 09:15:00,44.71760227,-122.2448237,Log Bloom,3238889.8818519013
2019-07-12 09:50:00,44.69537557,-122.2412653,Heater,2542518.5990513302
2019-07-12 10:20:00,44.67544396,-122.1887626,Blowout,6919.402024194802
2019-07-16 10:05:00,44.71760227,-122.2448237,Log Bloom,862822.1907404436
2019-07-16 10:40:00,44.69537557,-122.2412653,Heater,2960664.379991718
2019-07-16 11:10:00,44.67544396,-122.1887626,Blowout,1705906.618947609
2019-07-18 10:05:00,44.71760227,-122.2448237,Log Bloom,1094388.4404612244
2019-07-18 10:25:00,44.69537557,-122.2412653,Heater,3605666.262775628
2019-07-18 10:50:00,44.67544396,-122.1887626,Blowout,507542.4651414374
2019-07-23 10:05:00,44.71760227,-122.2448237,Log Bloom,449041.3835893197
2019-07-23 10:45:00,44.69537557,-122.2412653,Heater,2981000.2720345324
2019-07-23 11:10:00,44.67544396,-122.1887626,Blowout,1929718.747673174
2019-07-25 10:00:00,44.71760227,-122.2448237,Log Bloom,1119413.1036730593
2019-07-25 10:45:00,44.69537557,-122.2412653,Heater,5121685.032351744
2019-07-25 11:15:00,44.67544396,-122.1887626,Blowout,14758.32591206998
2019-07-30 10:20:00,44.71760227,-122.2448237,Log Bloom,253685.42872561247
2019-07-30 10:50:00,44.69537557,-122.2412653,Heater,159286.76472965654
2019-07-30 11:11:00,44.67544396,-122.1887626,Blowout,12758.365858565166
2019-08-01 09:45:00,44.71760227,-122.2448237,Log Bloom,91119.66419532204
2019-08-01 10:20:00,44.69537557,-122.2412653,Heater,629899.1937744803
2019-08-01 11:00:00,44.67544396,-122.1887626,Blowout,17169.463626785524
2019-08-06 10:15:00,44.71760227,-122.2448237,Log Bloom,300280.71155276586
2019-08-06 10:40:00,44.69537557,-122.2412653,Heater,271009.9730693446
2019-08-06 11:05:00,44.67544396,-122.1887626,Blowout,86287.56079102469
2019-08-08 09:30:00,44.71760227,-122.2448237,Log Bloom,169180.8217138125
2019-08-08 10:00:00,44.69537557,-122.2412653,Heater,30045.37689575617
2019-08-08 10:25:00,44.67544396,-122.1887626,Blowout,1561804.8503175466
2019-08-13 09:55:00,44.71760227,-122.2448237,Log Bloom,106271.84154052254
2019-08-13 10:50:00,44.69537557,-122.2412653,Heater,21147.602714226563
2019-08-13 11:20:00,44.67544396,-122.1887626,Blowout,57722.98499253538
2019-08-15 09:20:00,44.71760227,-122.2448237,Log Bloom,190328.42442803908
2019-08-15 09:45:00,44.69537557,-122.2412653,Heater,333120.37423881603
2019-08-15 10:10:00,44.67544396,-122.1887626,Blowout,27585.655910411173
2019-08-20 10:25:00,44.71760227,-122.2448237,Log Bloom,1025658.731639988
2019-08-20 10:55:00,44.69537557,-122.2412653,Heater,3104165.969838256
2019-08-20 11:20:00,44.67544396,-122.1887626,Blowout,93989.34539656252
2019-08-22 09:40:00,44.71760227,-122.2448237,Log Bloom,956.3027382275872
2019-08-22 10:00:00,44.69537557,-122.2412653,Heater,535298.6937038598
