date,lat,lon,site,Toxin
2018-06-25 10:40:00,44.71760227,-122.2448237,Log Bloom,4.55
2018-06-25 11:10:00,44.69537557,-122.2412653,Heater,3.304
2018-06-25 11:30:00,44.67544396,-122.1887626,Blowout,2.623
2018-06-26 10:00:00,44.71760227,-122.2448237,Log Bloom,7.305
2018-06-26 10:30:00,44.69537557,-122.2412653,Heater,4.465
2018-06-26 11:00:00,44.67544396,-122.1887626,Blowout,6.545
2018-06-27 11:00:00,44.71760227,-122.2448237,Log Bloom,4.624
2018-06-27 11:18:00,44.69537557,-122.2412653,Heater,2.965
2018-06-27 11:40:00,44.67544396,-122.1887626,Blowout,3.625
2018-06-28 10:10:00,44.71760227,-122.2448237,Log Bloom,9.37
2018-06-28 10:30:00,44.69537557,-122.2412653,Heater,6.6
2018-06-28 10:50:00,44.67544396,-122.1887626,Blowout,0.998
2018-06-29 10:15:00,44.71760227,-122.2448237,Log Bloom,12.29
2018-06-29 10:35:00,44.69537557,-122.2412653,Heater,6.01
2018-06-29 10:55:00,44.67544396,-122.1887626,Blowout,1.835
2018-07-02 09:50:00,44.71760227,-122.2448237,Log Bloom,13.975
2018-07-02 10:00:00,44.69537557,-122.2412653,Heater,1.936
2018-07-02 10:15:00,44.67544396,-122.1887626,Blowout,0.996
2018-07-03 10:05:00,44.71760227,-122.2448237,Log Bloom,10.92
2018-07-03 10:25:00,44.69537557,-122.2412653,Heater,12.335
2018-07-03 10:40:00,44.67544396,-122.1887626,Blowout,1.414
2018-07-05 09:40:00,44.71760227,-122.2448237,Log Bloom,8.92
2018-07-05 09:55:00,44.69537557,-122.2412653,Heater,6.67
2018-07-05 10:05:00,44.67544396,-122.1887626,Blowout,1.82
2018-07-06 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2018-07-09 00:00:00,44.71760227,-122.2448237,Log Bloom,5.0
2018-07-09 10:15:00,44.71760227,-122.2448237,Log Bloom,14.65
2018-07-09 10:30:00,44.69537557,-122.2412653,Heater,5.0
2018-07-09 10:30:00,44.69537557,-122.2412653,Heater,5.0
2018-07-09 10:30:00,44.69537557,-122.2412653,Heater,3.725
2018-07-09 10:50:00,44.67544396,-122.1887626,Blowout,3.076
2018-07-09 10:50:00,44.67544396,-122.1887626,Blowout,4.442
2018-07-09 11:50:00,44.67544396,-122.1887626,Blowout,3.076
2018-07-11 09:55:00,44.71760227,-122.2448237,Log Bloom,4.12
