date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum,year
2022-01-18,44.712500000000006,-122.20416663333334,0.8500000000000001,2.6375000000000455,31.125,2.9125,50.25000000000034,176.2875,872.2875,67.8125,2022
2022-01-19,44.712500000000006,-122.20416663333334,14.8875,5.024999999999977,31.5,3.4000000000000004,55.27500000000032,191.175,903.7875,71.2125,2022
2022-01-20,44.712500000000006,-122.20416663333334,13.6875,5.493750000000034,31.5,5.15,60.76875000000035,204.8625,935.2875,76.36250000000001,2022
2022-01-21,44.712500000000006,-122.20416663333334,,1.0187500000000114,99.975,1.25,61.787500000000364,,1035.2625,77.61250000000001,2022
2022-01-22,44.712500000000006,-122.20416663333334,,0.6125000000000114,119.625,2.025,62.400000000000375,,1154.8875,79.6375,2022
2022-01-23,44.712500000000006,-122.20416663333334,0.0,1.75,120.6625,1.0625,64.15000000000038,204.8625,1275.55,80.7,2022
2022-01-24,44.712500000000006,-122.20416663333334,0.0,0.01875000000001137,122.625,1.6,64.16875000000039,204.8625,1398.175,82.30000000000001,2022
2022-01-25,44.712500000000006,-122.20416663333334,0.0,-0.15625,123.875,3.2375000000000003,64.01250000000039,204.8625,1522.05,85.53750000000001,2022
2022-01-26,44.712500000000006,-122.20416663333334,0.0,-0.7437499999999773,125.5,2.7750000000000004,63.26875000000041,204.8625,1647.55,88.3125,2022
2022-01-27,44.712500000000006,-122.20416663333334,0.0,1.2937500000000455,126.875,6.95,64.56250000000045,204.8625,1774.425,95.2625,2022
2022-01-28,44.712500000000006,-122.20416663333334,0.0,1.181250000000034,128.5,4.7625,65.74375000000049,204.8625,1902.925,100.025,2022
2022-01-29,44.712500000000006,-122.20416663333334,0.0,1.8125,129.875,3.1,67.55625000000049,204.8625,2032.8,103.125,2022
2022-01-30,44.712500000000006,-122.20416663333334,20.025000000000002,2.5249999999999773,59.975,5.1375,70.08125000000047,224.8875,2092.775,108.2625,2022
2022-01-31,44.712500000000006,-122.20416663333334,7.875,0.8999999999999773,40.425000000000004,3.25,70.98125000000044,232.7625,2133.2,111.5125,2022
2022-02-01,44.712500000000006,-122.20416663333334,3.3625000000000003,0.5500000000000114,83.1375,3.3375000000000004,71.53125000000045,236.125,2216.3375,114.85000000000001,2022
2022-02-02,44.712500000000006,-122.20416663333334,3.7375000000000003,1.3937500000000682,44.4625,3.3125000000000004,72.92500000000052,239.8625,2260.8,118.16250000000001,2022
2022-02-03,44.712500000000006,-122.20416663333334,0.0,1.3937500000000114,75.80000000000001,2.2875,74.31875000000053,239.8625,2336.6,120.45,2022
2022-02-04,44.712500000000006,-122.20416663333334,1.9500000000000002,2.5500000000000114,86.8875,3.9,76.86875000000055,241.8125,2423.4875,124.35000000000001,2022
2022-02-05,44.712500000000006,-122.20416663333334,0.0,3.8374999999999773,142.25,1.9875,80.70625000000052,241.8125,2565.7375,126.3375,2022
2022-02-06,44.712500000000006,-122.20416663333334,0.0,3.9875000000000114,143.875,2.3625000000000003,84.69375000000053,241.8125,2709.6125,128.70000000000002,2022
2022-02-07,44.712500000000006,-122.20416663333334,0.0,3.7687500000000114,136.35,2.6625,88.46250000000055,241.8125,2845.9625,131.3625,2022
2022-02-08,44.712500000000006,-122.20416663333334,0.0,3.9437500000000227,145.625,1.5125,92.40625000000057,241.8125,2991.5875,132.875,2022
2022-02-09,44.712500000000006,-122.20416663333334,0.0,6.175000000000068,135.0,2.0,98.58125000000064,241.8125,3126.5875,134.875,2022
2022-02-10,44.712500000000006,-122.20416663333334,0.0,6.337500000000034,151.5,2.1750000000000003,104.91875000000067,241.8125,3278.0875,137.05,2022
2022-02-11,44.712500000000006,-122.20416663333334,0.0,5.131250000000023,139.9,4.0,110.0500000000007,241.8125,3417.9875,141.05,2022
2022-02-12,44.712500000000006,-122.20416663333334,0.0,5.962500000000034,149.475,5.25,116.01250000000073,241.8125,3567.4625,146.3,2022
2022-02-13,44.712500000000006,-122.20416663333334,0.0,7.306250000000034,157.375,2.7,123.31875000000076,241.8125,3724.8375,149.0,2022
2022-02-14,44.712500000000006,-122.20416663333334,18.225,3.4125000000000227,41.875,4.1000000000000005,126.73125000000078,260.0375,3766.7125,153.1,2022
2022-02-15,44.712500000000006,-122.20416663333334,1.4375,2.4875000000000114,82.25,2.3125000000000004,129.2187500000008,261.475,3848.9625,155.4125,2022
2022-02-16,44.712500000000006,-122.20416663333334,0.7125,3.150000000000034,58.6625,1.9,132.36875000000083,262.1875,3907.625,157.3125,2022
2022-02-17,44.712500000000006,-122.20416663333334,0.0,3.9750000000000227,132.15,1.1,136.34375000000085,262.1875,4039.775,158.4125,2022
2022-02-18,44.712500000000006,-122.20416663333334,0.0,5.0625,168.625,1.7000000000000002,141.40625000000085,262.1875,4208.4,160.1125,2022
2022-02-19,44.712500000000006,-122.20416663333334,7.675,3.625,104.3625,3.4125,145.03125000000085,269.8625,4312.7625,163.525,2022
2022-02-20,44.712500000000006,-122.20416663333334,20.6125,1.9250000000000114,89.1875,5.2,146.95625000000086,290.475,4401.95,168.725,2022
2022-02-21,44.712500000000006,-122.20416663333334,9.925,-0.4749999999999659,97.1,2.9000000000000004,146.4812500000009,300.4,4499.05,171.625,2022
