date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum
2012-01-24,44.712500000000006,-122.20416663333334,48.175,-0.11874999999997726,44.487500000000004,8.475000000000001,53.68125000000066,402.4375,1576.35,171.35000000000002
2012-01-25,44.712500000000006,-122.20416663333334,10.2875,2.9750000000000227,58.9875,11.0125,56.65625000000068,412.72499999999997,1635.3375,182.3625
2012-01-26,44.712500000000006,-122.20416663333334,32.2875,0.056250000000034106,79.0,4.7,56.712500000000716,445.0125,1714.3375,187.0625
2012-01-27,44.712500000000006,-122.20416663333334,0.0,-2.131249999999966,119.65,3.6,54.58125000000075,445.0125,1833.9875,190.6625
2012-01-28,44.712500000000006,-122.20416663333334,0.0,0.9375,114.475,3.4250000000000003,55.51875000000075,445.0125,1948.4625,194.0875
2012-01-29,44.712500000000006,-122.20416663333334,17.3125,5.393750000000011,63.625,6.75,60.91250000000076,462.325,2012.0875,200.8375
2012-01-30,44.712500000000006,-122.20416663333334,11.4125,3.6687500000000455,114.3625,8.5125,64.58125000000081,473.7375,2126.45,209.35000000000002
2012-01-31,44.712500000000006,-122.20416663333334,0.0,2.8875000000000455,118.5125,3.75,67.46875000000085,473.7375,2244.9625,213.10000000000002
2012-02-01,44.712500000000006,-122.20416663333334,18.9875,2.40625,77.05000000000001,6.4125000000000005,69.87500000000085,492.72499999999997,2322.0125,219.51250000000002
2012-02-02,44.712500000000006,-122.20416663333334,0.0,4.568750000000023,109.475,3.0375,74.44375000000088,492.72499999999997,2431.4875,222.55
2012-02-03,44.712500000000006,-122.20416663333334,0.0,6.493750000000034,127.6,6.7875000000000005,80.93750000000091,492.72499999999997,2559.0875,229.3375
2012-02-04,44.712500000000006,-122.20416663333334,0.0,5.21875,131.675,4.95,86.15625000000091,492.72499999999997,2690.7625,234.28750000000002
2012-02-05,44.712500000000006,-122.20416663333334,0.0,6.2937500000000455,132.025,3.7,92.45000000000095,492.72499999999997,2822.7875,237.9875
2012-02-06,44.712500000000006,-122.20416663333334,0.0,5.900000000000034,137.0125,5.1625000000000005,98.35000000000099,492.72499999999997,2959.8,243.15
2012-02-07,44.712500000000006,-122.20416663333334,0.0,6.15625,75.825,6.7,104.50625000000099,492.72499999999997,3035.625,249.85000000000002
2012-02-08,44.712500000000006,-122.20416663333334,21.387500000000003,5.550000000000011,43.9375,5.3500000000000005,110.056250000001,514.1125,3079.5625,255.20000000000002
2012-02-09,44.712500000000006,-122.20416663333334,8.4625,8.918750000000045,80.9375,4.95,118.97500000000105,522.575,3160.5,260.15000000000003
